frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22611,2022/4/22 20:21,h0,1,2,13.557,972.655,0,0.22579,0.63908,0,4,9153,0,0,0,0
22612,2022/4/22 20:21,h0,1,2,13.613,974.953,0,0.237569,0.662637,0,4,9259,0,0,0,0
22613,2022/4/22 20:21,h0,1,2,13.658,976.861,0,0.24683,0.681161,0,4,9323,0,0,0,0
22614,2022/4/22 20:21,h0,1,2,13.713,979.135,0,0.25,0.6875,0,4,9390,0,0,0,0
22615,2022/4/22 20:21,h0,1,2,13.761,981.093,0,0.25,0.6875,0,4,9452,0,0,0,0
22616,2022/4/22 20:21,h0,1,2,13.817,983.405,0,0.219057,0.6875,0,4,9673,0,0,0,0
22617,2022/4/22 20:21,h0,1,2,13.817,983.405,0,0.200692,0.741674,0,4,9751,0,0,0,0
22618,2022/4/22 20:21,h0,1,2,13.918,987.768,0,0.177371,0.811637,0,4,9860,0,0,0,0
22619,2022/4/22 20:21,h0,1,2,13.964,989.752,0,0.157967,0.86985,0,4,9972,0,0,0,0
22620,2022/4/22 20:21,h0,1,2,13.964,989.752,0,0.15625,0.875,0,4,10013,0,0,0,0
22621,2022/4/22 20:21,h0,1,2,14.067,994.143,0,-0.036649,0.643522,0.308638,4,10037,0,0,0,0
22622,2022/4/22 20:21,h0,1,2,14.122,996.562,0,-0.143762,0.514986,0.480019,4,10057,0,0,0,0
22623,2022/4/22 20:21,h0,1,2,14.169,998.552,0,-0.200518,0.358341,0.517707,3,10605,0,0,0,0
22624,2022/4/22 20:21,h0,1,2,14.224,1000.94,0,-0.260405,0.166705,0.541662,3,11496,0,0,0,0
22625,2022/4/22 20:21,h0,1,2,14.224,1000.94,0,-0.312038,0.001477,0.562315,3,11161,0,0,0,0
22627,2022/4/22 20:21,h0,1,2,14.328,1005.08,0,-0.347616,0,0.492269,2,11326,0,0,0,0
22629,2022/4/22 20:21,h0,1,2,14.434,1009.18,0,-0.40625,0,0.375,2,11760,0,0,0,0
22630,2022/4/22 20:21,h0,1,2,14.484,1011.04,0,-0.429632,0,0.351618,2,12037,0,0,0,0
22631,2022/4/22 20:21,h0,1,2,14.542,1013.32,0,-0.451972,0,0.329278,2,12044,0,0,0,0
22632,2022/4/22 20:21,h0,1,2,14.583,1014.78,0,-0.467734,0,0.313516,2,11969,0,0,0,0
22633,2022/4/22 20:21,h0,1,2,14.633,1016.61,0,-0.478218,0,0.293564,2,11872,0,0,0,0
22634,2022/4/22 20:21,h0,1,2,14.633,1016.61,0,-0.490337,0,0.269325,2,11651,0,0,0,0
22635,2022/4/22 20:21,h0,1,2,14.742,1020.52,0,-0.5,0,0.25,2,11469,0,0,0,0
22636,2022/4/22 20:21,h0,1,2,14.804,1022.57,0,-0.5,0,0.25,2,11234,0,0,0,0
22638,2022/4/22 20:21,h0,1,2,14.854,1024.25,0,-0.5,0,0.25,2,11057,0,0,0,0
22639,2022/4/22 20:21,h0,1,2,14.914,1026.19,0,-0.5625,0,0.25,2,10799,0,0,0,0
22641,2022/4/22 20:21,h0,1,2,14.963,1027.73,0,-0.589895,0,0.25,2,10344,0,0,0,0
